date,installed_capacity,supply_capacity,full_power
2004-07-01,57328,52398,44998
2004-07-02,57328,52412,44135
2004-07-03,57328,51163,42381
2004-07-04,57328,52470,36176
2004-07-05,57328,53796,43834
2004-07-06,57328,53881,45705
2004-07-07,57328,54265,43965
2004-07-08,57328,54089,43850
2004-07-09,57328,54225,44954
2004-07-10,57328,53836,41626
2004-07-11,57328,53203,37054
2004-07-12,58129,54225,45145
2004-07-13,58129,53963,44875
2004-07-14,58129,54488,45286
2004-07-15,58129,54458,45245
2004-07-16,58129,53774,46023
2004-07-17,58129,53912,39544
2004-07-18,58129,54132,38551
2004-07-19,58129,56442,46608
2004-07-20,58129,56442,47511
2004-07-21,58129,56822,48880
2004-07-22,58129,57487,49704
2004-07-23,58129,57254,50167
2004-07-24,58129,56728,46076
2004-07-25,58129,56294,39760
2004-07-26,58129,55869,48756
2004-07-27,58129,55960,49736
2004-07-28,58129,57052,51227
2004-07-29,59129,57528,51264
2004-07-30,59129,57178,50759
2004-07-31,59129,56451,44749
2004-08-01,59129,56561,39349
2004-08-02,59129,58135,43118
2004-08-03,59129,58077,43888
2004-08-04,59129,58077,45731
2004-08-05,59129,57087,47392
2004-08-06,59129,58077,48856
2004-08-07,59129,57132,46279
2004-08-08,59129,57132,41690
2004-08-09,59129,58021,49819
2004-08-10,59129,58029,50795
2004-08-11,59129,58357,50100
2004-08-12,59129,58541,50487
2004-08-13,59129,58392,51184
2004-08-14,59129,57965,46073
2004-08-15,59129,57835,39399
2004-08-16,59129,58677,48001
2004-08-17,59129,58307,48673
2004-08-18,59129,58318,47295
2004-08-19,59129,58318,43971
2004-08-20,59129,58089,44228
2004-08-21,59129,58089,41450
2004-08-22,59129,58318,36519
2004-08-23,59129,58240,43413
2004-08-24,59129,58469,44796
2004-08-25,59129,58399,45348
2004-08-26,59129,58380,45207
2004-08-27,59129,58271,45653
2004-08-29,59129,57921,38850
2004-08-30,59129,57664,46686
2004-08-31,59129,58260,47045
2004-09-01,59129,55249,46594
2004-09-02,59129,54553,46060
2004-09-03,59129,54110,45438
2004-09-04,59129,53939,42686
2004-09-05,59129,53782,38145
2004-09-06,59129,53682,45493
2004-09-07,59129,53691,43830
2004-09-08,59129,53691,44370
2004-09-09,59129,53571,44583
2004-09-10,59129,53313,43683
2004-09-11,59129,51126,39784
2004-09-12,59129,52080,37337
2004-09-13,59129,52297,44751
2004-09-14,59129,52686,45342
2004-09-15,59129,53107,45571
2004-09-16,59129,53597,46177
2004-09-17,59129,53257,46566
2004-09-18,59129,52943,42709
2004-09-19,59129,52839,37165
2004-09-20,59129,53041,43493
2004-09-21,59129,53852,43588
2004-09-22,59129,53605,43231
2004-09-23,59129,53437,43671
2004-09-24,59129,53688,42841
2004-09-25,59129,52915,37974
2004-09-26,59129,52870,34265
2004-09-27,59129,52870,30354
2004-09-28,59129,52870,28783
2004-09-29,59129,54418,31357
2004-09-30,59129,53953,37811
2004-10-01,59129,51843,41007
2004-10-02,59129,50744,39098
2004-10-03,59129,50687,37159
2004-10-04,59129,50182,42683
2004-10-05,59129,50566,43035
2004-10-06,59129,49988,42689
2004-10-07,59129,49988,43244
2004-10-08,59129,50617,43098
2004-10-09,59129,50319,39498
2004-10-10,59129,50444,36952
2004-10-11,59129,50862,43191
2004-10-12,59129,50815,42769
2004-10-13,59129,50837,42573
2004-10-14,59129,50758,43089
2004-10-15,59129,51869,42771
2004-10-16,59129,51225,40224
2004-10-17,59129,51269,37717
2004-10-18,59129,51269,43027
2004-10-19,59129,50815,43532
2004-10-20,59129,51799,43037
2004-10-21,59129,51919,43757
2004-10-22,59129,52077,43106
2004-10-23,59129,51834,40868
2004-10-24,59129,51834,38251
2004-10-25,59129,51987,43891
2004-10-26,59129,51556,44272
2004-10-27,59129,51534,43601
2004-10-28,59129,51858,43869
2004-10-29,59129,51913,43129
2004-10-30,59129,51647,40659
2004-10-31,59129,51698,38285
2004-11-01,59129,52432,43655
2004-11-02,59129,52432,44409
2004-11-03,59129,53290,44226
2004-11-04,59129,53313,44401
2004-11-05,59129,52913,44047
2004-11-06,59129,53444,41418
2004-11-07,59129,53326,38822
2004-11-08,59129,53663,44661
2004-11-09,59129,53021,44231
2004-11-10,59129,52840,44065
2004-11-11,59129,53114,44330
2004-11-12,59129,53097,44745
2004-11-13,59129,53717,42256
2004-11-14,59129,53456,39781
2004-11-15,59129,53817,45572
2004-11-16,59129,53865,45322
2004-11-17,59129,53865,45340
2004-11-18,59129,54789,45183
2004-11-19,59129,54789,45062
2004-11-20,59129,55848,42809
2004-11-21,59129,55934,40224
2004-11-22,59129,56784,45445
2004-11-23,59129,56784,45794
2004-11-24,59129,56984,45550
2004-11-25,59129,57792,45420
2004-11-26,59129,58063,45776
2004-11-27,59129,57703,42870
2004-11-28,59129,57741,40717
2004-11-29,59129,58849,45910
2004-11-30,59943,57780,46241
2004-12-01,59943,57730,46150
2004-12-02,59943,57730,45878
2004-12-03,59943,57472,45178
2004-12-04,59943,57370,42651
2004-12-05,59943,57368,41223
2004-12-06,59943,58080,46307
2004-12-07,59943,57948,46401
2004-12-08,59943,58058,46265
2004-12-09,59943,58058,46387
2004-12-10,59943,57704,46369
2004-12-11,59943,57934,43551
2004-12-12,59943,57934,41503
2004-12-13,59943,58014,46884
2004-12-14,59943,58319,46713
2004-12-15,59943,59015,46284
2004-12-16,59943,59016,46933
2004-12-17,599430,58144,46315
2004-12-18,59943,57499,43744
2004-12-19,59943,58296,41839
2004-12-20,59943,58531,47857
2004-12-21,59943,58353,47834
2004-12-22,59943,58953,48141
2004-12-23,59943,59225,48549
2004-12-24,59943,59225,47201
2004-12-25,59943,58425,45457
2004-12-26,59943,58532,42975
2004-12-27,59943,58532,48087
2004-12-28,59943,58532,48369
2004-12-29,59943,58070,47965
2004-12-30,59961,58258,47184
2004-12-31,59961,58308,45574
2005-01-01,59961,58011,42897
2005-01-02,59961,57801,41507
2005-01-03,59961,57331,47151
2005-01-04,59961,57429,48671
2005-01-05,59961,57429,48249
2005-01-06,59961,56376,48187
2005-01-07,59961,54818,48554
2005-01-08,59961,54319,46689
2005-01-09,59961,54344,45202
2005-01-10,59961,54983,49683
2005-01-11,59961,56124,49457
2005-01-12,59961,56817,49337
2005-01-13,59961,56527,49444
2005-01-14,59961,57135,48843
2005-01-15,59961,56338,46977
2005-01-16,59961,55928,44757
2005-01-17,59961,55938,48285
2005-01-18,59961,55326,48280
2005-01-19,59961,55326,48787
2005-01-20,59961,55581,49201
2005-01-21,59961,54876,49023
2005-01-23,59961,54810,44446
2005-01-24,59961,54787,48192
2005-01-25,59961,54787,48099
2005-01-26,59961,55137,48104
2005-01-28,59961,55834,47775
2005-01-29,59961,55808,46257
2005-01-30,59961,55808,44556
2005-02-01,59961,55978,49990
2005-02-02,59961,56978,49820
2005-02-04,59961,56987,49315
2005-02-06,59961,56859,44788
2005-02-07,59961,56980,42854
2005-02-09,59961,57485,36073
2005-02-10,59961,57685,38695
2005-02-11,59961,57685,42630
2005-02-13,59961,55879,43689
2005-02-14,59961,56298,48186
2005-02-15,59961,56858,47972
2005-02-17,59961,56769,47802
2005-02-18,59961,55697,48199
2005-02-20,59961,55669,46950
2005-02-21,59961,57366,49555
2005-02-23,59961,57738,48821
2005-02-26,59961,57305,47397
2005-02-28,59961,57133,45646
2005-03-01,59961,56739,46189
2005-03-02,59961,57183,48722
2005-03-03,59961,57047,49092
2005-03-04,59961,57738,48698
2005-03-05,59961,57332,46332
2005-03-06,59961,56613,44565
2005-03-07,59961,56665,47730
2005-03-08,59961,55796,47363
2005-03-09,59961,55796,46945
2005-03-10,59961,55805,46742
2005-03-11,59961,55886,48374
2005-03-12,59961,54005,46440
2005-03-13,59961,54348,44533
2005-03-14,59961,56258,47709
2005-03-15,59961,55753,47816
2005-03-16,59961,55658,46814
2005-03-17,59961,55813,47172
2005-03-18,59961,56481,47386
2005-03-19,59961,56291,44303
2005-03-20,59961,56135,41783
2005-03-21,59961,56410,46339
2005-03-22,59961,56548,46539
2005-03-23,59961,56708,46565
2005-03-24,59961,56145,47815
2005-03-25,59961,56715,46982
2005-03-26,59961,56192,44215
2005-03-27,59961,56034,41052
2005-03-28,59961,56727,46478
2005-03-29,59961,56592,46546
2005-03-30,59961,55797,46029
2005-03-31,59961,55478,45770
2005-04-01,59993,56297,45123
2005-04-02,59993,55482,41926
2005-04-03,59993,55552,40539
2005-04-04,59993,56130,44798
2005-04-05,59993,56357,42685
2005-04-06,59993,56579,45265
2005-04-07,59993,56577,44676
2005-04-08,59993,55884,44041
2005-04-09,59993,56366,42386
2005-04-10,59993,56865,39765
2005-04-11,59993,57423,44792
2005-04-12,59993,57240,45186
2005-04-13,59993,57395,45044
2005-04-14,59993,57395,44921
2005-04-15,59993,57688,44758
2005-04-16,59993,56652,42000
2005-04-17,59993,56452,39316
2005-04-18,59993,57804,44324
2005-04-19,59993,57804,44446
2005-04-20,59993,57355,44675
2005-04-21,59993,57895,44922
2005-04-22,60994,57896,44630
2005-04-23,60994,57699,41787
2005-04-24,60994,57613,39048
2005-04-25,60994,58874,43672
2005-04-26,60994,59137,44121
2005-04-27,60994,59130,43615
2005-04-28,60994,59305,43750
2005-04-29,60994,58529,43318
2005-04-30,60994,57969,40655
2005-05-01,60994,57808,36678
2005-05-02,60994,57207,42752
2005-05-03,60994,57528,43554
2005-05-04,60994,58314,43065
2005-05-05,60994,58314,40743
2005-05-06,60994,57597,43561
2005-05-07,60994,56568,40987
2005-05-08,60994,56714,38968
2005-05-09,60994,56341,44072
2005-05-10,60994,55790,44107
2005-05-11,60994,56097,44392
2005-05-12,60994,56460,44421
2005-05-13,60994,56660,43561
2005-05-14,60994,57281,40994
2005-05-15,60994,56705,38025
2005-05-16,60994,57180,43583
2005-05-17,60994,56848,43981
2005-05-18,60994,56613,43802
2005-05-19,60994,56508,43532
2005-05-20,60994,56066,43119
2005-05-21,60994,56008,40514
2005-05-22,60994,55742,38470
2005-05-23,60994,55844,43763
2005-05-24,60994,55746,43810
2005-05-25,60994,55543,43624
2005-05-26,60994,56683,44300
2005-05-27,60994,56870,43871
2005-05-28,60994,57567,40962
2005-05-29,60994,57457,38225
2005-05-30,60994,57604,44006
2005-05-31,60994,57847,44049
2005-06-01,60994,57041,43446
2005-06-02,60994,57578,43468
2005-06-03,60994,57578,43743
2005-06-04,60994,56511,40480
2005-06-05,60994,55580,36940
2005-06-06,60994,56407,40088
2005-06-07,60994,55404,44433
2005-06-08,60994,55685,46046
2005-06-09,60994,56094,46315
2005-06-10,60994,57388,43949
2005-06-11,60994,56235,41569
2005-06-12,60994,56314,38490
2005-06-13,60994,56172,46823
2005-06-14,60994,56921,47528
2005-06-15,60994,57266,45572
2005-06-16,60994,57146,45891
2005-06-17,60994,57389,46173
2005-06-18,60994,57939,43198
2005-06-19,60994,56578,38832
2005-06-21,60994,55487,48473
2005-06-22,60994,55833,48917
2005-06-23,60994,55833,49956
2005-06-24,60994,55209,50603
2005-06-25,60994,54173,46104
2005-06-26,60994,55006,40851
2005-06-27,60994,55938,48664
2005-06-28,60994,57112,48314
2005-06-29,60994,57270,48559
2005-06-30,61539,56330,50343
2005-07-01,61737,55310,46720
2005-07-02,61737,55060,43218
2005-07-03,61737,55597,38646
2005-07-04,61737,55416,47063
2005-07-05,61737,55750,46511
2005-07-06,61737,57018,48473
2005-07-07,61737,57232,48010
2005-07-08,61737,56826,48156
2005-07-09,61737,56910,42719
2005-07-10,61737,56394,39361
2005-07-11,61737,57595,44711
2005-07-12,61737,57006,46354
2005-07-13,61737,57006,47016
2005-07-14,61737,57464,49010
2005-07-15,61737,57132,50200
2005-07-16,61737,57099,46072
2005-07-17,61737,57371,41595
2005-07-18,61737,57980,51624
2005-07-19,61737,58025,50965
2005-07-20,61737,59214,52112
2005-07-21,61737,58775,52725
2005-07-22,61737,58985,53712
2005-07-23,61737,58551,50239
2005-07-24,61737,58041,44052
2005-07-25,61737,58672,52230
2005-07-26,61737,58202,52288
2005-07-27,61737,59283,51903
2005-07-28,61737,59937,49576
2005-07-29,61737,60475,49939
2005-07-30,61737,58699,44218
2005-07-31,61737,58499,41304
2005-08-01,61737,59905,43417
2005-08-02,61737,59968,44052
2005-08-03,61737,60506,44195
2005-08-04,61737,60506,49045
2005-08-05,61737,60859,51145
2005-08-06,61737,60097,48041
2005-08-07,61737,59903,43036
2005-08-08,61737,59996,49468
2005-08-09,61737,61170,50618
2005-08-10,61737,61170,50228
2005-08-11,61737,61061,49596
2005-08-12,61737,60788,50419
2005-08-13,61737,60576,47490
2005-08-14,61737,60134,43033
2005-08-15,61737,60334,45678
2005-08-16,61737,60818,53601
2005-08-17,61737,60818,54631
2005-08-18,61737,60848,52747
2005-08-19,61737,60848,49558
2005-08-20,61737,60616,43183
2005-08-21,61737,59906,39680
2005-08-22,61737,60848,47123
2005-08-23,61737,60848,47458
2005-08-24,61737,60458,45508
2005-08-25,61737,59608,45989
2005-08-26,61737,59608,46025
2005-08-27,61737,59165,43196
2005-08-28,61737,59165,40011
2005-08-29,61737,59268,48934
2005-08-30,61737,59268,48676
2005-08-31,61737,59268,49865
2005-09-01,61737,57012,52752
2005-09-02,61737,56612,52052
2005-09-03,61737,56273,45178
2005-09-04,61737,56961,39059
2005-09-05,61737,56214,46476
2005-09-06,61737,56091,45112
2005-09-07,61737,56328,47953
2005-09-08,61737,56012,48754
2005-09-09,61737,56476,47653
2005-09-10,61737,55677,45088
2005-09-11,61737,55777,42384
2005-09-12,61737,56469,51162
2005-09-13,61737,56029,49152
2005-09-14,61737,55070,47388
2005-09-15,61737,55590,46901
2005-09-16,61737,55741,44251
2005-09-17,61737,56198,34880
2005-09-18,61737,56721,31214
2005-09-19,61737,56721,33350
2005-09-20,61737,56734,40105
2005-09-21,61737,56406,43757
2005-09-22,61737,55714,45194
2005-09-23,61737,54784,45643
2005-09-24,61737,54031,42017
2005-09-25,61737,54067,38327
2005-09-26,61737,55934,45914
2005-09-27,61737,55934,46012
2005-09-28,61737,56028,45383
2005-09-29,61737,56256,45851
2005-09-30,61737,56526,45574
2005-10-01,62241,55798,41891
2005-10-02,62241,55463,37558
2005-10-03,62241,55344,40272
2005-10-04,62241,55929,44466
2005-10-05,62241,56040,44433
2005-10-06,62241,55469,44901
2005-10-07,62241,54719,44575
2005-10-08,62241,55335,41828
2005-10-09,62241,55778,39262
2005-10-10,62241,56273,44716
2005-10-11,62241,57018,45034
2005-10-12,62241,56465,44183
2005-10-13,62241,56665,45395
2005-10-14,62241,56267,44539
2005-10-15,62241,56084,41114
2005-10-16,62241,55187,39174
2005-10-17,62241,55017,44638
2005-10-18,62241,56145,45096
2005-10-19,62241,55956,44963
2005-10-20,62241,56055,45534
2005-10-21,62241,56566,45289
2005-10-22,62241,56753,43191
2005-10-23,62241,56239,40636
2005-10-25,62241,55638,45859
2005-10-26,62241,55404,45782
2005-10-27,62241,57681,46267
2005-10-28,62241,57852,45867
2005-10-29,62241,57898,42952
2005-10-30,62241,57970,41053
2005-10-31,62241,58142,46111
2005-11-01,62241,57525,46085
2005-11-02,62241,57521,46096
2005-11-03,62241,57114,45929
2005-11-04,62242,56963,45801
2005-11-06,62241,57832,40575
2005-11-07,62242,57700,46169
2005-11-08,62241,57223,46854
2005-11-09,62241,57773,46537
2005-11-10,62241,57773,46363
2005-11-11,62241,57872,46163
2005-11-12,62241,56862,44006
2005-11-13,62241,57177,41776
2005-11-14,62241,57538,47732
2005-11-15,62242,57905,48663
2005-11-16,62241,57650,48741
2005-11-17,62241,57139,49336
2005-11-18,62241,57667,49125
2005-11-19,62241,58706,46249
2005-11-20,62241,58251,43995
2005-11-21,62241,58430,49171
2005-11-22,62241,58595,49982
2005-11-23,62241,58480,48987
2005-11-24,62241,57659,49231
2005-11-25,62241,57739,48663
2005-11-26,62241,57235,45568
2005-11-27,62241,57479,43518
2005-11-28,62241,57260,48733
2005-11-29,62241,57324,49402
2005-11-30,62241,57508,49589
2005-12-01,62241,57449,49095
2005-12-02,62241,58323,49817
2005-12-03,62241,57684,47277
2005-12-04,62241,57684,45864
2005-12-05,62241,58608,52511
2005-12-06,62241,58214,52236
2005-12-07,62241,57504,51809
2005-12-08,62241,57634,52468
2005-12-09,62241,57746,51768
2005-12-10,62241,56437,49138
2005-12-11,62241,55840,47081
2005-12-12,62241,57234,53970
2005-12-13,62241,57637,53789
2005-12-14,62241,58865,53330
2005-12-15,62241,60609,53352
2005-12-16,62241,60561,52799
2005-12-17,62241,60773,51395
2005-12-18,62241,60708,49567
2005-12-19,62241,61961,54451
2005-12-20,62241,60409,53700
2005-12-21,62259,60452,54154
2005-12-22,62259,60847,53591
2005-12-23,62259,62480,52786
2005-12-24,62259,62785,50737
2005-12-25,62259,63777,47881
2005-12-26,62259,64065,53935
2005-12-27,62259,63065,53809
2005-12-28,62259,63065,53366
2005-12-29,62259,64065,52570
2005-12-30,62259,64064,50941
2005-12-31,62259,64064,48339
2006-01-01,62259,64414,44836
2006-01-02,62259,64439,50203
2006-01-03,62260,64439,52460
2006-01-04,62260,63679,53740
2006-01-05,62260,63503,54212
2006-01-06,62260,62984,54020
2006-01-07,62260,61749,51620
2006-01-08,62260,61118,49286
2006-01-09,62260,61786,53788
2006-01-10,62260,60986,52715
2006-01-11,62260,61695,52545
2006-01-12,62260,61876,52493
2006-01-13,62260,61601,51549
2006-01-14,62260,61146,48242
2006-01-15,62260,61821,46009
2006-01-16,62260,62085,51947
2006-01-17,62260,62085,51457
2006-01-18,62260,62224,51500
2006-01-19,62260,62483,51473
2006-01-20,62260,62353,51127
2006-01-21,62260,62483,49124
2006-01-22,62260,62483,47348
2006-01-23,62260,62510,52671
2006-01-24,62260,62417,52999
2006-01-25,62260,62510,52593
2006-01-26,62260,62510,51551
2006-01-27,62260,62744,49129
2006-01-28,62260,62228,44859
2006-01-29,62260,61768,39237
2006-01-30,62260,62228,40115
2006-01-31,62260,62094,44351
2006-02-01,62260,62094,50046
2006-02-02,62260,62094,51455
2006-02-03,62260,62935,53262
2006-02-04,62260,63060,51099
2006-02-05,62260,62048,48937
2006-02-06,62260,61898,52703
2006-02-07,62260,61673,52567
2006-02-08,62260,61873,53397
2006-02-09,62260,63033,53139
2006-02-10,62260,63033,52370
2006-02-11,62260,61942,49660
2006-02-12,62260,62217,47074
2006-02-13,62753,62771,51141
2006-02-14,62753,62622,50606
2006-02-15,62753,61490,50727
2006-02-16,62753,61789,51768
2006-02-17,62753,62257,52206
2006-02-18,62753,61886,50148
2006-02-19,62753,60880,46695
2006-02-20,62753,61566,50471
2006-02-21,62753,61575,50252
2006-02-22,62753,60783,51047
2006-02-23,62753,60677,50854
2006-02-24,63003,61126,50030
2006-02-25,63003,59243,46810
2006-02-26,63003,58611,45237
2006-02-27,63003,59136,50942
2006-02-28,63003,59011,50352
2006-03-01,63003,58586,48158
2006-03-02,63003,58643,51460
2006-03-03,63003,58903,51123
2006-03-04,63003,58057,47550
2006-03-05,63003,56717,44419
2006-03-06,63003,57740,49665
2006-03-07,63003,58852,49436
2006-03-08,63003,58780,49450
2006-03-09,63003,58911,49217
2006-03-10,63003,58624,48410
2006-03-11,63003,57540,46056
2006-03-12,63003,57449,45784
2006-03-13,63003,57468,51722
2006-03-14,63003,57418,51172
2006-03-15,63003,57529,49855
2006-03-16,63003,57573,50652
2006-03-17,63003,56568,49169
2006-03-18,63003,55204,46276
2006-03-19,63003,54844,44031
2006-03-20,63003,56800,49531
2006-03-21,63003,57500,48644
2006-03-22,63003,56955,48516
2006-03-23,63003,56833,49229
2006-03-24,63003,55806,48988
2006-03-25,63003,53364,45443
2006-03-26,63003,53509,43107
2006-03-27,63003,55479,48572
2006-03-28,63003,55733,50152
2006-03-29,63003,56882,49664
2006-03-30,63003,56632,49548
2006-03-31,63003,56102,48661
2006-04-01,63003,55897,45353
2006-04-02,63003,55697,43108
2006-04-03,63504,56044,47881
2006-04-04,63504,54576,48148
2006-04-05,63504,56065,47677
2006-04-06,63504,55650,48343
2006-04-07,63504,56354,47859
2006-04-08,63504,54583,44628
2006-04-09,63504,54260,41987
2006-04-10,63504,55610,47305
2006-04-11,63054,55642,47262
2006-04-12,63504,55882,47009
2006-04-13,63504,56536,48092
2006-04-14,63504,57192,47119
2006-04-15,63504,56443,44773
2006-04-16,63504,56653,42241
2006-04-17,63504,56804,47487
2006-04-18,63504,56562,46875
2006-04-19,63504,57122,48325
2006-04-20,63504,57108,48484
2006-04-21,63504,58282,47257
2006-04-22,63504,56492,44708
2006-04-23,63504,56096,42621
2006-04-24,63504,56636,47670
2006-04-25,63754,57144,47495
2006-04-26,63754,57638,47142
2006-04-27,63754,57548,46994
2006-04-28,63754,58265,46540
2006-04-29,63754,57392,43444
2006-05-01,63754,56960,41441
2006-05-02,63754,57124,45519
2006-05-03,63754,57474,45899
2006-05-04,63754,57515,45065
2006-05-05,63754,56605,41906
2006-05-06,63754,57290,41850
2006-05-07,63754,57420,39613
2006-05-08,63754,57374,45387
2006-05-09,63754,57206,46201
2006-05-10,63754,56745,45518
2006-05-11,63754,57238,46062
2006-05-12,63754,57958,46146
2006-05-13,63754,57499,42908
2006-05-14,63754,57755,40419
2006-05-15,64249,57586,45423
2006-05-16,64249,58136,45839
2006-05-17,64249,58440,45541
2006-05-18,64249,55947,46043
2006-05-19,64249,57110,45587
2006-05-20,64249,56713,42230
2006-05-21,64249,56270,39744
2006-05-22,64249,56294,46070
2006-05-23,64249,56589,45574
2006-05-24,64249,57131,45761
2006-05-25,64249,57051,45687
2006-05-26,64249,56487,45826
2006-05-27,64249,57261,42506
2006-05-28,64249,57095,39532
2006-05-29,64249,58291,45432
2006-05-30,64249,57733,46264
2006-05-31,64249,58264,42487
2006-06-01,64249,57469,46408
2006-06-02,64249,57034,48558
2006-06-03,64249,55759,43710
2006-06-04,64249,56259,39332
2006-06-05,64249,57561,46939
2006-06-06,64249,57761,43371
2006-06-07,64249,57031,47739
2006-06-08,64249,57831,46989
2006-06-09,64249,58463,47086
2006-06-10,64249,57275,43850
2006-06-11,64249,57962,39437
2006-06-12,64249,57925,47275
2006-06-13,64249,58155,48818
2006-06-14,64249,58114,46127
2006-06-15,64249,58697,46680
2006-06-16,64249,59538,47394
2006-06-17,64249,57339,43198
2006-06-18,64249,58019,40016
2006-06-19,64249,58081,49076
2006-06-20,64249,57785,49126
2006-06-21,64504,58473,48581
2006-06-22,64504,58473,49337
2006-06-23,64504,58187,50375
2006-06-24,64504,56135,44180
2006-06-25,64504,57794,40399
2006-06-26,64504,57494,48657
2006-06-27,64504,58574,49538
2006-06-28,64504,58391,51310
2006-06-29,64504,58860,51941
2006-06-30,64504,58249,51308
2006-07-01,64504,58158,44307
2006-07-02,64504,58413,40588
2006-07-03,64054,59393,49629
2006-07-04,64504,59485,49150
2006-07-05,64504,59290,48662
2006-07-06,64504,58970,47377
2006-07-07,64504,60259,49154
2006-07-08,64504,58698,45277
2006-07-09,64504,59168,42430
2006-07-10,64504,60613,48334
2006-07-11,64504,61068,50439
2006-07-12,64504,61665,52533
2006-07-13,64504,61665,53912
2006-07-14,64504,63100,55263
2006-07-15,64504,60881,48510
2006-07-16,64504,61029,40162
2006-07-17,64504,61927,42056
2006-07-18,64504,61908,47234
2006-07-19,64504,61908,46456
2006-07-20,64504,62397,47025
2006-07-21,64504,62863,47547
2006-07-22,64504,62733,44570
2006-07-23,64504,62183,40194
2006-07-24,64504,63278,48130
2006-07-25,64504,63226,49225
2006-07-26,64504,63547,48163
2006-07-27,64504,63193,48852
2006-07-28,64504,62936,48913
2006-07-29,64504,63481,44351
2006-07-30,64504,62283,42988
2006-07-31,64504,62771,48135
2006-08-01,64504,62810,48352
2006-08-02,64504,63119,49300
2006-08-03,64504,63119,51775
2006-08-04,64504,63099,53056
2006-08-05,64504,62767,48765
2006-08-06,64504,63119,45705
2006-08-07,64504,63421,54798
2006-08-08,64504,62851,56169
2006-08-09,64504,62529,57063
2006-08-10,64504,62883,57242
2006-08-11,64778,63865,55796
2006-08-12,64778,63640,50995
2006-08-13,64778,62925,47046
2006-08-14,64778,63640,57270
2006-08-15,64778,63890,52087
2006-08-16,64778,65183,58994
2006-08-17,64778,65183,56531
2006-08-18,64778,65183,54061
2006-08-19,64778,64063,46107
2006-08-20,64778,64043,42970
2006-08-21,64778,65226,55183
2006-08-22,64778,64966,56141
2006-08-23,64778,64966,56230
2006-08-24,64778,64395,56659
2006-08-25,64778,65226,55853
2006-08-26,64778,64368,50038
2006-08-27,64778,63877,43742
2006-08-28,64778,64725,54707
2006-08-29,64778,64725,53821
2006-08-30,64778,64725,52076
2006-08-31,64778,64725,52399
2006-09-01,64778,63007,51674
2006-09-02,64778,60430,47149
2006-09-03,64778,59435,42369
2006-09-04,64778,61460,51744
2006-09-05,64778,61642,48863
2006-09-06,64778,61491,47912
2006-09-07,64778,62103,48666
2006-09-08,64778,62532,48718
2006-09-09,64778,61867,44387
2006-09-10,64778,61216,39595
2006-09-11,64778,60906,46858
2006-09-12,64778,61046,47826
2006-09-13,64778,60946,47760
2006-09-14,64778,60596,48193
2006-09-15,64778,60735,47600
2006-09-16,64778,59703,43151
2006-09-17,64778,60010,39688
2006-09-18,64778,60270,46980
2006-09-19,64778,60205,48500
2006-09-20,64778,60205,47810
2006-09-21,64778,59445,49008
2006-09-22,64778,59247,48835
2006-09-23,64778,58295,43395
2006-09-24,64778,58950,40233
2006-09-25,64778,59396,48333
2006-09-26,64778,57991,48468
2006-09-27,64778,56869,48401
2006-09-28,64778,58040,48773
2006-09-29,64778,59244,47725
2006-09-30,64778,59446,43453
2006-10-01,64778,59859,41396
2006-10-02,65233,59801,46204
2006-10-03,65233,60692,43018
2006-10-04,65233,58733,39944
2006-10-05,65233,59282,34557
2006-10-06,65233,60706,31589
2006-10-07,65233,60706,34247
2006-10-08,65233,60141,36954
2006-10-09,65233,59537,46515
2006-10-10,65233,59390,48071
2006-10-11,65233,59390,47502
2006-10-12,65233,59537,47967
2006-10-13,65233,59333,47578
2006-10-14,65233,57971,43272
2006-10-15,65233,58349,40654
2006-10-16,65233,59035,48175
2006-10-17,65233,59240,49033
2006-10-18,65233,59280,48372
2006-10-19,65233,59674,48982
2006-10-20,65233,59393,48083
2006-10-21,65233,58415,43245
2006-10-22,65233,59546,41055
2006-10-23,65233,60869,47284
2006-10-24,65233,60758,47274
2006-10-25,65233,60934,47061
2006-10-26,65233,61195,48070
2006-10-27,65233,60910,47333
2006-10-28,65233,60627,43887
2006-10-29,65233,60965,41357
2006-10-30,65233,60965,47464
2006-10-31,65233,61315,47644
2006-11-01,65233,61210,47214
2006-11-02,65233,60315,48319
2006-11-03,65233,60264,47795
2006-11-04,65233,58996,44213
2006-11-05,65233,59334,42362
2006-11-06,65233,59258,49437
2006-11-07,65233,59914,50350
2006-11-08,65233,59432,48980
2006-11-09,65233,59236,49078
2006-11-10,65233,59327,49224
2006-11-11,65233,58819,46329
2006-11-12,65233,58888,44066
2006-11-13,65233,59049,49900
2006-11-14,65233,59460,50868
2006-11-15,65233,60369,50744
2006-11-16,65233,60537,51631
2006-11-17,65233,60611,51059
2006-11-18,65233,59320,47631
2006-11-19,65233,58870,44580
2006-11-20,65233,59553,50554
2006-11-21,65233,60048,50757
2006-11-22,65233,60560,51111
2006-11-23,65233,61178,51242
2006-11-24,65233,61188,50708
2006-11-25,65233,59849,47032
2006-11-26,65233,60128,44446
2006-11-27,65233,60510,50995
2006-11-28,65223,60175,51062
2006-11-29,65233,60056,51796
2006-11-30,65233,60245,52071
2006-12-01,65233,60334,51910
2006-12-02,65233,59092,50181
2006-12-03,65233,59817,48186
2006-12-04,65233,60402,54505
2006-12-05,65233,60533,53883
2006-12-06,65233,60752,53425
2006-12-07,65233,60697,53798
2006-12-08,65233,60790,53267
