"		108",서울,2000.5.20,80.3,52
"		108",서울,2000.5.21,66.1,43
"		108",서울,2000.5.22,63,42
"		108",서울,2000.5.23,79.3,60
"		108",서울,2000.5.24,70.3,47
"		108",서울,2000.5.25,58.8,30
"		108",서울,2000.5.26,62.8,39
"		108",서울,2000.5.27,93,88
"		108",서울,2000.5.28,67.5,41
"		108",서울,2000.5.29,56.1,26
"		108",서울,2000.5.30,63.1,43
"		108",서울,2000.5.31,59.8,42
"		108",서울,2000.6.1,68.8,47
"		108",서울,2000.6.2,68.3,43
"		108",서울,2000.6.3,64.5,35
"		108",서울,2000.6.4,44,21
"		108",서울,2000.6.5,46,24
"		108",서울,2000.6.6,61.8,32
"		108",서울,2000.6.7,57.1,36
"		108",서울,2000.6.8,64.9,42
"		108",서울,2000.6.9,65.8,37
"		108",서울,2000.6.10,68.4,50
"		108",서울,2000.6.11,60,28
"		108",서울,2000.6.12,47.8,21
"		108",서울,2000.6.13,57.6,33
"		108",서울,2000.6.14,58,39
"		108",서울,2000.6.15,67.8,36
"		108",서울,2000.6.16,69.4,45
"		108",서울,2000.6.17,64.6,44
"		108",서울,2000.6.18,57.9,35
"		108",서울,2000.6.19,56.9,36
"		108",서울,2000.6.20,64,38
"		108",서울,2000.6.21,59.3,39
"		108",서울,2000.6.22,73.3,50
"		108",서울,2000.6.23,77.1,55
"		108",서울,2000.6.24,69.4,55
"		108",서울,2000.6.25,71.3,56
"		108",서울,2000.6.26,83.6,73
"		108",서울,2000.6.27,72.9,50
"		108",서울,2000.6.28,63.1,26
"		108",서울,2000.6.29,84.1,69
"		108",서울,2000.6.30,82.4,61
"		108",서울,2000.7.1,69.3,42
"		108",서울,2000.7.2,73.4,45
"		108",서울,2000.7.3,69.9,47
"		108",서울,2000.7.4,68.8,42
"		108",서울,2000.7.5,68.6,48
"		108",서울,2000.7.6,67.8,48
"		108",서울,2000.7.7,62.3,44
"		108",서울,2000.7.8,52.4,34
"		108",서울,2000.7.9,67.3,54
"		108",서울,2000.7.10,60.9,29
"		108",서울,2000.7.11,88.9,67
"		108",서울,2000.7.12,81,67
"		108",서울,2000.7.13,79.1,55
"		108",서울,2000.7.14,72.1,52
"		108",서울,2000.7.15,74.8,57
"		108",서울,2000.7.16,80.4,66
"		108",서울,2000.7.17,77.6,59
"		108",서울,2000.7.18,77.3,57
"		108",서울,2000.7.19,85.1,69
"		108",서울,2000.7.20,80.1,60
"		108",서울,2000.7.21,79.1,64
"		108",서울,2000.7.22,92.8,84
"		108",서울,2000.7.23,76.6,54
"		108",서울,2000.7.24,71.4,45
"		108",서울,2000.7.25,74.6,56
"		108",서울,2000.7.26,69.8,39
"		108",서울,2000.7.27,65.9,30
"		108",서울,2000.7.28,65,49
"		108",서울,2000.7.29,77.9,65
"		108",서울,2000.7.30,78.8,63
"		108",서울,2000.7.31,68,41
"		108",서울,2000.8.1,69.5,45
"		108",서울,2000.8.2,59.8,26
"		108",서울,2000.8.3,61.6,45
"		108",서울,2000.8.4,84.3,62
"		108",서울,2000.8.5,90.9,77
"		108",서울,2000.8.6,92,80
"		108",서울,2000.8.7,92,70
"		108",서울,2000.8.8,81.6,49
"		108",서울,2000.8.9,77.1,52
"		108",서울,2000.8.10,76,48
"		108",서울,2000.8.11,73.5,51
"		108",서울,2000.8.12,73.1,50
"		108",서울,2000.8.13,67.8,43
"		108",서울,2000.8.14,73.4,50
"		108",서울,2000.8.15,73,50
"		108",서울,2000.8.16,72.8,49
"		108",서울,2000.8.17,68.4,45
"		108",서울,2000.8.18,67.3,42
"		108",서울,2000.8.19,83,65
"		108",서울,2000.8.20,95.9,80
"		108",서울,2000.8.21,86.3,68
"		108",서울,2000.8.22,74.5,51
